publishedDateTime,resourceId,assessProperties_patchId,assessProperties_patchName,assessProperties_version,assessProperties_kbId,rebootRequired,osType,classification,msrcSeverity,classificationPriority,count_
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,python.x86_64_2.7.5-94.el7_9_CentOS Linux_7.9.2009,python.x86_64,2.7.5-94.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,bind-libs-lite.x86_64_32_9.11.4-26.P2.el7_9.16_CentOS Linux_7.9.2009,bind-libs-lite.x86_64,32:9.11.4-26.P2.el7_9.16,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,openssh-clients.x86_64_7.4p1-23.el7_9_CentOS Linux_7.9.2009,openssh-clients.x86_64,7.4p1-23.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,dhcp-libs.x86_64_12_4.2.5-83.el7.centos.2_CentOS Linux_7.9.2009,dhcp-libs.x86_64,12:4.2.5-83.el7.centos.2,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,bind-license.noarch_32_9.11.4-26.P2.el7_9.16_CentOS Linux_7.9.2009,bind-license.noarch,32:9.11.4-26.P2.el7_9.16,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,bind-utils.x86_64_32_9.11.4-26.P2.el7_9.16_CentOS Linux_7.9.2009,bind-utils.x86_64,32:9.11.4-26.P2.el7_9.16,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,bpftool.x86_64_3.10.0-1160.119.1.el7_CentOS Linux_7.9.2009,bpftool.x86_64,3.10.0-1160.119.1.el7,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,geoipupdate.x86_64_2.5.0-2.el7_CentOS Linux_7.9.2009,geoipupdate.x86_64,2.5.0-2.el7,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,glibc-common.x86_64_2.17-326.el7_9.3_CentOS Linux_7.9.2009,glibc-common.x86_64,2.17-326.el7_9.3,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,grub2.x86_64_1_2.02-0.87.0.2.el7.centos.14_CentOS Linux_7.9.2009,grub2.x86_64,1:2.02-0.87.0.2.el7.centos.14,,N/A,Linux,Other,NotAvailable,2,1
